Date,Symbol,Maturity,Strike,Bid Price,Bid Size ,Ask Price,Ask Size ,Undl Price
4/11/2024,SPY,4/15/2024,534,0.01,4412,0.02,12515,518
4/11/2024,SPY,4/15/2024,535,0.01,6208,0.02,11804,518
4/11/2024,SPY,4/15/2024,540,0,0,0.01,19956,518
4/11/2024,SPY,4/15/2024,545,0,0,0.01,25918,518
4/11/2024,SPY,4/15/2024,550,0,0,0.01,6634,518
4/11/2024,SPY,4/15/2024,555,0,0,0.01,4413,518
4/11/2024,SPY,4/15/2024,560,0,0,0.01,9611,518
4/11/2024,SPY,4/15/2024,565,0,0,0.01,13370,518
4/11/2024,SPY,4/15/2024,570,0,0,0.01,12100,518
4/11/2024,SPY,4/15/2024,575,0,0,0.01,10807,518
4/11/2024,SPY,4/15/2024,580,0,0,0.01,13154,518
4/11/2024,SPY,4/15/2024,585,0,0,0.01,19502,518
4/11/2024,SPY,4/15/2024,590,0,0,0.01,7418,518
4/11/2024,SPY,4/15/2024,595,0,0,0.01,7557,518
4/11/2024,SPY,4/15/2024,600,0,0,0.01,23554,518
4/11/2024,SPY,4/16/2024,518,3.1,545,3.12,970,518
4/11/2024,SPY,4/16/2024,519,2.56,693,2.58,1011,518
4/11/2024,SPY,4/16/2024,520,2.07,841,2.09,1052,518
4/11/2024,SPY,4/16/2024,521,1.65,872,1.66,1141,518
4/11/2024,SPY,4/16/2024,522,1.27,785,1.29,1278,518
4/11/2024,SPY,4/16/2024,523,0.97,699,0.99,1416,518
4/11/2024,SPY,4/16/2024,524,0.71,1219,0.73,1818,518
4/11/2024,SPY,4/16/2024,525,0.52,1740,0.53,2221,518
4/11/2024,SPY,4/16/2024,526,0.37,2000,0.38,2422,518
4/11/2024,SPY,4/16/2024,527,0.25,1974,0.27,2746,518
4/11/2024,SPY,4/16/2024,528,0.17,1947,0.19,3070,518
4/11/2024,SPY,4/16/2024,529,0.12,2229,0.13,5298,518
4/11/2024,SPY,4/16/2024,530,0.07,2821,0.08,9432,518
4/11/2024,SPY,4/16/2024,531,0.05,3413,0.06,13565,518
4/11/2024,SPY,4/16/2024,532,0.04,3015,0.05,13887,518
4/11/2024,SPY,4/16/2024,533,0.03,2616,0.04,14209,518
4/11/2024,SPY,4/16/2024,534,0.02,3399,0.03,13472,518
4/11/2024,SPY,4/16/2024,535,0.02,5363,0.03,11678,518
4/11/2024,SPY,4/16/2024,540,0.01,5626,0.02,19812,518
4/11/2024,SPY,4/16/2024,545,0,0,0.01,20513,518
4/11/2024,SPY,4/16/2024,550,0,0,0.01,10635,518
4/11/2024,SPY,4/16/2024,555,0,0,0.01,3396,518
4/11/2024,SPY,4/16/2024,560,0,0,0.01,7160,518
4/11/2024,SPY,4/16/2024,565,0,0,0.01,9612,518
4/11/2024,SPY,4/16/2024,570,0,0,0.01,9154,518
4/11/2024,SPY,4/16/2024,575,0,0,0.01,8561,518
4/11/2024,SPY,4/16/2024,580,0,0,0.01,9725,518
4/11/2024,SPY,4/16/2024,585,0,0,0.01,12868,518
4/11/2024,SPY,4/16/2024,590,0,0,0.01,6974,518
4/11/2024,SPY,4/16/2024,595,0,0,0.01,7067,518
4/11/2024,SPY,4/16/2024,600,0,0,0.01,15109,518
4/11/2024,SPY,4/17/2024,518,3.55,722,3.57,168,518
4/11/2024,SPY,4/17/2024,519,2.99,790,3.02,545,518
4/11/2024,SPY,4/17/2024,520,2.49,858,2.52,922,518
4/11/2024,SPY,4/17/2024,521,2.05,836,2.07,1188,518
4/11/2024,SPY,4/17/2024,522,1.65,725,1.68,1343,518
4/11/2024,SPY,4/17/2024,523,1.31,613,1.33,1498,518
4/11/2024,SPY,4/17/2024,524,1.02,1150,1.04,1919,518
4/11/2024,SPY,4/17/2024,525,0.78,1687,0.8,2339,518
4/11/2024,SPY,4/17/2024,526,0.59,1955,0.61,2549,518
4/11/2024,SPY,4/17/2024,527,0.44,1665,0.46,2969,518
4/11/2024,SPY,4/17/2024,528,0.32,1376,0.34,3390,518
4/11/2024,SPY,4/17/2024,529,0.23,1674,0.25,4827,518
4/11/2024,SPY,4/17/2024,530,0.17,2559,0.18,7280,518
4/11/2024,SPY,4/17/2024,531,0.12,3444,0.13,9734,518
4/11/2024,SPY,4/17/2024,532,0.08,2594,0.09,12188,518
4/11/2024,SPY,4/17/2024,533,0.06,1745,0.07,14641,518
4/11/2024,SPY,4/17/2024,534,0.04,2386,0.05,14429,518
4/11/2024,SPY,4/17/2024,535,0.03,4517,0.04,11552,518
4/11/2024,SPY,4/17/2024,540,0.01,3918,0.02,19668,518
4/11/2024,SPY,4/17/2024,545,0.01,5988,0.02,15107,518
4/11/2024,SPY,4/17/2024,550,0,0,0.01,14636,518
4/11/2024,SPY,4/17/2024,555,0,0,0.01,2380,518
4/11/2024,SPY,4/17/2024,560,0,0,0.01,4710,518
4/11/2024,SPY,4/17/2024,565,0,0,0.01,5855,518
4/11/2024,SPY,4/17/2024,570,0,0,0.01,6209,518
4/11/2024,SPY,4/17/2024,575,0,0,0.01,6314,518
4/11/2024,SPY,4/17/2024,580,0,0,0.01,6297,518
4/11/2024,SPY,4/17/2024,585,0,0,0.01,6233,518
4/11/2024,SPY,4/17/2024,590,0,0,0.01,6529,518
4/11/2024,SPY,4/17/2024,595,0,0,0.01,6578,518
4/11/2024,SPY,4/17/2024,600,0,0,0.01,6664,518
4/11/2024,SPY,4/18/2024,518,4.03,1043,4.06,1492,518
4/11/2024,SPY,4/18/2024,519,3.46,1261,3.5,1130,518
4/11/2024,SPY,4/18/2024,520,2.95,1480,2.98,768,518
4/11/2024,SPY,4/18/2024,521,2.48,1459,2.51,683,518
4/11/2024,SPY,4/18/2024,522,2.06,1201,2.09,875,518
4/11/2024,SPY,4/18/2024,523,1.69,943,1.71,1067,518
4/11/2024,SPY,4/18/2024,524,1.36,1402,1.39,1101,518
4/11/2024,SPY,4/18/2024,525,1.09,1862,1.11,1135,518
4/11/2024,SPY,4/18/2024,526,0.85,2091,0.87,1152,518
4/11/2024,SPY,4/18/2024,527,0.66,2084,0.68,1185,518
4/11/2024,SPY,4/18/2024,528,0.51,2077,0.53,1219,518
4/11/2024,SPY,4/18/2024,529,0.38,2155,0.39,1564,518
4/11/2024,SPY,4/18/2024,530,0.29,2320,0.3,2220,518
4/11/2024,SPY,4/18/2024,531,0.22,2485,0.23,2877,518
4/11/2024,SPY,4/18/2024,532,0.16,3859,0.17,3533,518
4/11/2024,SPY,4/18/2024,533,0.12,5232,0.13,4189,518
4/11/2024,SPY,4/18/2024,534,0.08,5914,0.09,4082,518
4/11/2024,SPY,4/18/2024,535,0.07,5903,0.08,3212,518
4/11/2024,SPY,4/18/2024,540,0.02,7824,0.03,1053,518
4/11/2024,SPY,4/18/2024,545,0.01,2970,0.02,6018,518
4/11/2024,SPY,4/18/2024,550,0.01,4658,0.02,5298,518
4/11/2024,SPY,4/18/2024,555,0,0,0.01,6464,518
4/11/2024,SPY,4/18/2024,560,0,0,0.01,6694,518
4/11/2024,SPY,4/18/2024,565,0,0,0.01,1490,518
4/11/2024,SPY,4/18/2024,570,0,0,0.01,2335,518
4/11/2024,SPY,4/18/2024,575,0,0,0.01,3311,518
4/11/2024,SPY,4/18/2024,580,0,0,0.01,3474,518
4/11/2024,SPY,4/18/2024,585,0,0,0.01,3752,518
4/11/2024,SPY,4/18/2024,590,0,0,0.01,3800,518
4/11/2024,SPY,4/18/2024,595,0,0,0.01,3815,518
4/11/2024,SPY,4/18/2024,600,0,0,0.01,3839,518
4/11/2024,SPY,4/19/2024,518,4.38,237,4.4,868,518
4/11/2024,SPY,4/19/2024,519,3.81,685,3.84,935,518
4/11/2024,SPY,4/19/2024,520,3.29,1133,3.31,1002,518
4/11/2024,SPY,4/19/2024,521,2.81,1347,2.83,1014,518
4/11/2024,SPY,4/19/2024,522,2.37,1326,2.39,972,518
4/11/2024,SPY,4/19/2024,523,1.98,1306,2,931,518
4/11/2024,SPY,4/19/2024,524,1.63,1506,1.65,867,518
4/11/2024,SPY,4/19/2024,525,1.33,1706,1.35,804,518
4/11/2024,SPY,4/19/2024,526,1.08,1806,1.09,772,518
4/11/2024,SPY,4/19/2024,527,0.86,1708,0.87,709,518
4/11/2024,SPY,4/19/2024,528,0.68,1609,0.69,646,518
4/11/2024,SPY,4/19/2024,529,0.53,1691,0.54,718,518
4/11/2024,SPY,4/19/2024,530,0.41,1953,0.42,925,518
4/11/2024,SPY,4/19/2024,531,0.32,2215,0.33,1132,518
4/11/2024,SPY,4/19/2024,532,0.25,2857,0.26,1339,518
4/11/2024,SPY,4/19/2024,533,0.19,3499,0.2,1546,518
4/11/2024,SPY,4/19/2024,534,0.15,3920,0.16,2114,518
4/11/2024,SPY,4/19/2024,535,0.12,4119,0.13,3041,518
4/11/2024,SPY,4/19/2024,536,0.08,4319,0.09,3968,518
4/11/2024,SPY,4/19/2024,537,0.06,4490,0.07,4300,518
4/11/2024,SPY,4/19/2024,538,0.05,4661,0.06,4631,518
4/11/2024,SPY,4/19/2024,539,0.04,4832,0.05,4963,518
4/11/2024,SPY,4/19/2024,540,0.04,4918,0.05,5129,518
4/11/2024,SPY,4/19/2024,545,0.02,6028,0.03,5365,518
4/11/2024,SPY,4/19/2024,550,0.01,7311,0.02,3037,518
4/11/2024,SPY,4/19/2024,555,0.01,6158,0.02,6037,518
4/11/2024,SPY,4/19/2024,560,0,0,0.01,7866,518
4/11/2024,SPY,4/19/2024,565,0,0,0.01,8634,518
4/11/2024,SPY,4/19/2024,570,0,0,0.01,5351,518
4/11/2024,SPY,4/19/2024,575,0,0,0.01,2166,518
4/11/2024,SPY,4/19/2024,580,0,0,0.01,2666,518
4/11/2024,SPY,4/19/2024,585,0,0,0.01,3413,518
4/11/2024,SPY,4/19/2024,590,0,0,0.01,3522,518
4/11/2024,SPY,4/19/2024,595,0,0,0.01,3533,518
4/11/2024,SPY,4/19/2024,600,0,0,0.01,3549,518
4/11/2024,SPY,4/22/2024,518,4.74,1392,4.78,1066,518
4/11/2024,SPY,4/22/2024,519,4.18,1293,4.21,1069,518
4/11/2024,SPY,4/22/2024,520,3.64,1194,3.68,1072,518
4/11/2024,SPY,4/22/2024,521,3.16,1142,3.18,1040,518
4/11/2024,SPY,4/22/2024,522,2.7,1136,2.73,972,518
4/11/2024,SPY,4/22/2024,523,2.3,1129,2.32,905,518
4/11/2024,SPY,4/22/2024,524,1.93,1063,1.95,1135,518
4/11/2024,SPY,4/22/2024,525,1.6,997,1.63,1364,518
4/11/2024,SPY,4/22/2024,526,1.32,964,1.35,1479,518
4/11/2024,SPY,4/22/2024,527,1.08,1233,1.1,1617,518
4/11/2024,SPY,4/22/2024,528,0.87,1503,0.89,1754,518
4/11/2024,SPY,4/22/2024,529,0.69,1662,0.72,1644,518
4/11/2024,SPY,4/22/2024,530,0.55,1710,0.57,1285,518
4/11/2024,SPY,4/22/2024,535,0.17,3179,0.18,2002,518
4/11/2024,SPY,4/22/2024,540,0.05,4731,0.06,2662,518
4/11/2024,SPY,4/22/2024,545,0.02,6355,0.04,2074,518
4/11/2024,SPY,4/22/2024,550,0.02,3130,0.03,6413,518
4/11/2024,SPY,4/22/2024,555,0.01,4962,0.02,6177,518
4/11/2024,SPY,4/22/2024,560,0,0,0.02,3632,518
4/11/2024,SPY,4/22/2024,565,0,0,0.01,6454,518
4/11/2024,SPY,4/22/2024,570,0,0,0.01,6435,518
4/11/2024,SPY,4/22/2024,575,0,0,0.01,7711,518
4/11/2024,SPY,4/22/2024,580,0,0,0.01,8080,518
4/11/2024,SPY,4/22/2024,585,0,0,0.01,8184,518
4/11/2024,SPY,4/22/2024,590,0,0,0.01,3793,518
4/11/2024,SPY,4/22/2024,595,0,0,0.01,3841,518
4/11/2024,SPY,4/23/2024,518,5.08,1493,5.11,1093,518
4/11/2024,SPY,4/23/2024,519,4.5,1249,4.54,1120,518
4/11/2024,SPY,4/23/2024,520,3.97,1005,4,1147,518
4/11/2024,SPY,4/23/2024,521,3.47,943,3.5,1150,518
4/11/2024,SPY,4/23/2024,522,3,1063,3.04,1127,518
4/11/2024,SPY,4/23/2024,523,2.58,1183,2.62,1105,518
4/11/2024,SPY,4/23/2024,524,2.2,1145,2.23,1235,518
4/11/2024,SPY,4/23/2024,525,1.86,1107,1.89,1366,518
4/11/2024,SPY,4/23/2024,526,1.55,1087,1.58,1431,518
4/11/2024,SPY,4/23/2024,527,1.29,1181,1.31,1541,518
4/11/2024,SPY,4/23/2024,528,1.06,1275,1.08,1651,518
4/11/2024,SPY,4/23/2024,529,0.86,1370,0.89,1581,518
4/11/2024,SPY,4/23/2024,530,0.7,1467,0.72,1334,518
4/11/2024,SPY,4/23/2024,535,0.23,2728,0.24,2065,518
4/11/2024,SPY,4/23/2024,540,0.08,4197,0.09,3039,518
4/11/2024,SPY,4/23/2024,545,0.03,5614,0.05,2482,518
4/11/2024,SPY,4/23/2024,550,0.02,3326,0.03,4471,518
4/11/2024,SPY,4/23/2024,555,0.01,4995,0.02,6217,518
4/11/2024,SPY,4/23/2024,560,0.01,7151,0.02,3657,518
4/11/2024,SPY,4/23/2024,565,0,0,0.02,6496,518
4/11/2024,SPY,4/23/2024,570,0,0,0.01,6478,518
4/11/2024,SPY,4/23/2024,575,0,0,0.01,7762,518
4/11/2024,SPY,4/23/2024,580,0,0,0.01,8133,518
4/11/2024,SPY,4/23/2024,585,0,0,0.01,8238,518
4/11/2024,SPY,4/23/2024,590,0,0,0.01,5991,518
4/11/2024,SPY,4/24/2024,518,5.41,1595,5.44,1120,518
4/11/2024,SPY,4/24/2024,519,4.83,1206,4.87,1171,518
4/11/2024,SPY,4/24/2024,520,4.29,816,4.33,1222,518
4/11/2024,SPY,4/24/2024,521,3.78,744,3.82,1259,518
4/11/2024,SPY,4/24/2024,522,3.31,991,3.35,1282,518
4/11/2024,SPY,4/24/2024,523,2.88,1237,2.91,1305,518
4/11/2024,SPY,4/24/2024,524,2.48,1227,2.51,1336,518
4/11/2024,SPY,4/24/2024,525,2.12,1216,2.15,1368,518
4/11/2024,SPY,4/24/2024,526,1.8,1211,1.83,1384,518
4/11/2024,SPY,4/24/2024,530,0.86,1224,0.88,1382,518
4/11/2024,SPY,4/24/2024,540,0.1,3663,0.12,3415,518
4/11/2024,SPY,4/24/2024,550,0.02,3523,0.04,2530,518
4/11/2024,SPY,4/24/2024,560,0.01,7198,0.02,3681,518
4/11/2024,SPY,4/24/2024,570,0,0,0.02,6520,518
4/11/2024,SPY,4/25/2024,518,5.82,1595,5.87,1120,518
4/11/2024,SPY,4/25/2024,519,5.24,1206,5.28,1171,518
4/11/2024,SPY,4/25/2024,520,4.69,816,4.73,1222,518
4/11/2024,SPY,4/25/2024,521,4.17,744,4.21,1259,518
4/11/2024,SPY,4/25/2024,522,3.69,991,3.73,1282,518
4/11/2024,SPY,4/25/2024,523,3.24,1237,3.28,1305,518
4/11/2024,SPY,4/25/2024,530,1.07,1224,1.1,1382,518
4/11/2024,SPY,4/25/2024,540,0.15,3663,0.16,3415,518
4/11/2024,SPY,4/25/2024,550,0.03,3526,0.04,2533,518
4/11/2024,SPY,4/25/2024,560,0.01,7218,0.03,3691,518
4/11/2024,SPY,4/26/2024,518,6.14,1595,6.17,1120,518
4/11/2024,SPY,4/26/2024,519,5.55,1206,5.59,1171,518
4/11/2024,SPY,4/26/2024,520,5,816,5.03,1222,518
4/11/2024,SPY,4/26/2024,521,4.47,744,4.51,1259,518
4/11/2024,SPY,4/26/2024,522,3.98,991,4.02,1282,518
4/11/2024,SPY,4/26/2024,522.5,3.75,1114,3.78,1293,518
4/11/2024,SPY,4/26/2024,523,3.52,1237,3.56,1305,518
4/11/2024,SPY,4/26/2024,524,3.1,1227,3.13,1336,518
4/11/2024,SPY,4/26/2024,525,2.71,1216,2.74,1368,518
4/11/2024,SPY,4/26/2024,526,2.35,1211,2.38,1384,518
4/11/2024,SPY,4/26/2024,527,2.03,1129,2.05,1465,518
4/11/2024,SPY,4/26/2024,528,1.73,1048,1.76,1547,518
4/11/2024,SPY,4/26/2024,529,1.47,1079,1.5,1519,518
4/11/2024,SPY,4/26/2024,530,1.25,1224,1.27,1382,518
4/11/2024,SPY,4/26/2024,531,1.05,1369,1.07,1245,518
4/11/2024,SPY,4/26/2024,532,0.87,1452,0.9,1179,518
4/11/2024,SPY,4/26/2024,533,0.73,1535,0.75,1113,518
4/11/2024,SPY,4/26/2024,534,0.6,1810,0.62,1429,518
4/11/2024,SPY,4/26/2024,535,0.5,2277,0.51,2128,518
4/11/2024,SPY,4/26/2024,536,0.41,2745,0.43,2827,518
4/11/2024,SPY,4/26/2024,537,0.34,3007,0.35,2995,518
4/11/2024,SPY,4/26/2024,538,0.28,3269,0.29,3163,518
4/11/2024,SPY,4/26/2024,539,0.23,3532,0.24,3331,518
4/11/2024,SPY,4/26/2024,540,0.19,3663,0.2,3415,518
4/11/2024,SPY,4/26/2024,545,0.08,4872,0.09,2889,518
4/11/2024,SPY,4/26/2024,550,0.04,3528,0.05,2537,518
4/11/2024,SPY,4/26/2024,555,0.02,5056,0.03,6294,518
4/11/2024,SPY,4/26/2024,560,0.01,7239,0.03,3702,518
4/11/2024,SPY,4/26/2024,565,0.01,5924,0.02,6577,518
4/11/2024,SPY,4/26/2024,570,0.01,5721,0.02,6558,518
4/11/2024,SPY,4/26/2024,575,0.01,2187,0.02,7858,518
4/11/2024,SPY,4/26/2024,580,0,0,0.01,8233,518
4/11/2024,SPY,4/26/2024,585,0,0,0.01,8339,518
4/11/2024,SPY,4/26/2024,590,0,0,0.01,8235,518
4/11/2024,SPY,4/26/2024,595,0,0,0.01,8152,518
4/11/2024,SPY,4/26/2024,600,0,0,0.01,8055,518
4/12/2024,SPY,4/15/2024,511,2.44,192,2.47,2574,510.85
4/12/2024,SPY,4/15/2024,512,1.94,499,1.97,1943,510.85
4/12/2024,SPY,4/15/2024,513,1.51,807,1.53,1312,510.85
4/12/2024,SPY,4/15/2024,514,1.14,943,1.16,1048,510.85
4/12/2024,SPY,4/15/2024,515,0.84,906,0.86,1149,510.85
4/12/2024,SPY,4/15/2024,516,0.6,870,0.62,1251,510.85
4/12/2024,SPY,4/15/2024,517,0.42,1359,0.43,1617,510.85
4/12/2024,SPY,4/15/2024,518,0.28,1847,0.29,1984,510.85
4/12/2024,SPY,4/15/2024,519,0.19,2341,0.2,2232,510.85
4/12/2024,SPY,4/15/2024,520,0.13,2839,0.14,2363,510.85
4/12/2024,SPY,4/15/2024,521,0.08,3338,0.09,2495,510.85
4/12/2024,SPY,4/15/2024,522,0.05,3343,0.06,9987,510.85
4/12/2024,SPY,4/15/2024,523,0.04,3348,0.05,17480,510.85
4/12/2024,SPY,4/15/2024,524,0.02,3603,0.03,19256,510.85
4/12/2024,SPY,4/15/2024,525,0.02,4107,0.03,15314,510.85
4/12/2024,SPY,4/15/2024,526,0.02,4611,0.03,11372,510.85
4/12/2024,SPY,4/15/2024,527,0.01,6239,0.02,11744,510.85
4/12/2024,SPY,4/15/2024,528,0.01,7867,0.02,12115,510.85
4/12/2024,SPY,4/15/2024,529,0.01,8608,0.02,14499,510.85
4/12/2024,SPY,4/15/2024,530,0,0,0.01,16697,510.85
4/12/2024,SPY,4/15/2024,531,0,0,0.01,21092,510.85
4/12/2024,SPY,4/15/2024,532,0,0,0.01,21695,510.85
4/12/2024,SPY,4/15/2024,533,0,0,0.01,18504,510.85
4/12/2024,SPY,4/15/2024,534,0,0,0.01,15314,510.85
4/12/2024,SPY,4/15/2024,535,0,0,0.01,19888,510.85
4/12/2024,SPY,4/15/2024,540,0,0,0.01,23749,510.85
4/12/2024,SPY,4/15/2024,545,0,0,0.01,3974,510.85
4/12/2024,SPY,4/15/2024,550,0,0,0.01,9333,510.85
4/12/2024,SPY,4/15/2024,555,0,0,0.01,15492,510.85
4/12/2024,SPY,4/15/2024,560,0,0,0.01,17758,510.85
4/12/2024,SPY,4/15/2024,565,0,0,0.01,11936,510.85
4/12/2024,SPY,4/15/2024,570,0,0,0.01,15171,510.85
4/12/2024,SPY,4/15/2024,575,0,0,0.01,22952,510.85
4/12/2024,SPY,4/15/2024,580,0,0,0.01,7834,510.85
4/12/2024,SPY,4/15/2024,585,0,0,0.01,7905,510.85
4/12/2024,SPY,4/15/2024,590,0,0,0.01,8259,510.85
4/12/2024,SPY,4/15/2024,595,0,0,0.01,47825,510.85
4/12/2024,SPY,4/15/2024,600,0,0,0.01,47825,510.85
4/12/2024,SPY,4/16/2024,511,3.29,369,3.32,1772,510.85
4/12/2024,SPY,4/16/2024,512,2.76,596,2.79,1477,510.85
4/12/2024,SPY,4/16/2024,513,2.29,824,2.31,1182,510.85
4/12/2024,SPY,4/16/2024,514,1.86,907,1.89,1094,510.85
4/12/2024,SPY,4/16/2024,515,1.49,846,1.51,1214,510.85
4/12/2024,SPY,4/16/2024,516,1.17,785,1.19,1334,510.85
4/12/2024,SPY,4/16/2024,517,0.9,1289,0.91,1718,510.85
4/12/2024,SPY,4/16/2024,518,0.69,1794,0.7,2102,510.85
4/12/2024,SPY,4/16/2024,519,0.51,2164,0.52,2408,510.85
4/12/2024,SPY,4/16/2024,520,0.38,2400,0.39,2636,510.85
4/12/2024,SPY,4/16/2024,521,0.27,2636,0.29,2863,510.85
4/12/2024,SPY,4/16/2024,522,0.2,2934,0.21,8676,510.85
4/12/2024,SPY,4/16/2024,523,0.14,3233,0.16,14489,510.85
4/12/2024,SPY,4/16/2024,524,0.09,3408,0.12,16491,510.85
4/12/2024,SPY,4/16/2024,525,0.07,3461,0.08,14681,510.85
4/12/2024,SPY,4/16/2024,526,0.05,3514,0.06,12871,510.85
4/12/2024,SPY,4/16/2024,527,0.04,5310,0.05,12159,510.85
4/12/2024,SPY,4/16/2024,528,0.03,7106,0.04,11448,510.85
4/12/2024,SPY,4/16/2024,529,0.02,7825,0.03,13081,510.85
4/12/2024,SPY,4/16/2024,530,0.02,7646,0.03,15070,510.85
4/12/2024,SPY,4/16/2024,531,0.02,7289,0.03,19047,510.85
4/12/2024,SPY,4/16/2024,532,0.01,7221,0.03,20496,510.85
4/12/2024,SPY,4/16/2024,533,0.01,7445,0.02,19416,510.85
4/12/2024,SPY,4/16/2024,534,0.01,7668,0.02,18335,510.85
4/12/2024,SPY,4/16/2024,535,0.01,7308,0.02,20502,510.85
4/12/2024,SPY,4/16/2024,540,0,0,0.01,20428,510.85
4/12/2024,SPY,4/16/2024,545,0,0,0.01,4925,510.85
4/12/2024,SPY,4/16/2024,550,0,0,0.01,7494,510.85
4/12/2024,SPY,4/16/2024,555,0,0,0.01,12156,510.85
4/12/2024,SPY,4/16/2024,560,0,0,0.01,13893,510.85
4/12/2024,SPY,4/16/2024,565,0,0,0.01,10049,510.85
4/12/2024,SPY,4/16/2024,570,0,0,0.01,12215,510.85
4/12/2024,SPY,4/16/2024,575,0,0,0.01,17386,510.85
4/12/2024,SPY,4/16/2024,580,0,0,0.01,7393,510.85
4/12/2024,SPY,4/16/2024,585,0,0,0.01,7456,510.85
4/12/2024,SPY,4/16/2024,590,0,0,0.01,7709,510.85
4/12/2024,SPY,4/16/2024,595,0,0,0.01,34117,510.85
4/12/2024,SPY,4/16/2024,600,0,0,0.01,34117,510.85
4/12/2024,SPY,4/17/2024,511,3.84,545,3.86,970,510.85
4/12/2024,SPY,4/17/2024,512,3.3,693,3.32,1011,510.85
4/12/2024,SPY,4/17/2024,513,2.8,841,2.82,1052,510.85
4/12/2024,SPY,4/17/2024,514,2.35,872,2.37,1141,510.85
4/12/2024,SPY,4/17/2024,515,1.94,785,1.96,1278,510.85
4/12/2024,SPY,4/17/2024,516,1.58,699,1.6,1416,510.85
4/12/2024,SPY,4/17/2024,517,1.27,1219,1.29,1818,510.85
4/12/2024,SPY,4/17/2024,518,1,1740,1.02,2221,510.85
4/12/2024,SPY,4/17/2024,519,0.78,1987,0.8,2584,510.85
4/12/2024,SPY,4/17/2024,520,0.6,1960,0.61,2908,510.85
4/12/2024,SPY,4/17/2024,521,0.46,1933,0.48,3232,510.85
4/12/2024,SPY,4/17/2024,522,0.34,2525,0.36,7365,510.85
4/12/2024,SPY,4/17/2024,523,0.26,3117,0.28,11498,510.85
